Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
152931.724,,,s,2.25E-10,5.23E-11,5.23E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
152991.649,,,s,1.70E-10,3.94E-11,3.94E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153069.705,,,s,2.55E-10,5.76E-11,5.76E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153115.387,,,s,3.20E-10,7.41E-11,7.41E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153163.55,,,s,2.16E-10,4.96E-11,4.96E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153235.11,,,s,1.72E-10,3.91E-11,3.91E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153296.165,,,s,5.04E-10,1.13E-10,1.13E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153336.031,,,s,2.64E-10,5.91E-11,5.91E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153427.533,,,s,1.23E-10,2.88E-11,2.88E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153505.902,,,s,2.39E-10,5.45E-11,5.45E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153570.089,,,s,1.72E-10,4.07E-11,4.07E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153635.733,,,s,3.13E-10,6.75E-11,6.75E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
153705.145,,,s,1.90E-10,3.86E-11,3.86E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158321.245,,,s,2.39E-10,5.55E-11,5.55E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158386.31,,,s,2.90E-10,6.73E-11,6.73E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158453.256,,,s,2.71E-10,6.16E-11,6.16E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158501.737,,,s,3.30E-10,7.21E-11,7.21E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158595.581,,,s,1.96E-10,4.43E-11,4.43E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158649.83,,,s,2.87E-10,6.41E-11,6.41E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158712.352,,,s,3.04E-10,7.27E-11,7.27E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158787.482,,,s,2.23E-10,5.39E-11,5.39E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158841.891,,,s,3.23E-10,7.36E-11,7.36E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158902.192,,,s,2.41E-10,5.48E-11,5.48E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
158959.622,,,s,3.77E-10,8.22E-11,8.22E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159011.762,,,s,2.66E-10,6.17E-11,6.17E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159075.323,,,s,3.25E-10,7.26E-11,7.26E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159139.134,,,s,2.36E-10,5.29E-11,5.29E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159217.237,,,s,2.21E-10,5.13E-11,5.13E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159312.762,,,s,1.32E-10,3.00E-11,3.00E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
159447.768,,,s,2.00E-10,3.50E-11,3.50E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
163873.269,,,s,1.47E-10,3.36E-11,3.36E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
163939.212,,,s,2.16E-10,5.00E-11,5.00E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
163990.988,,,s,2.24E-10,5.00E-11,5.00E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164049.283,,,s,1.76E-10,3.93E-11,3.93E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164125.506,,,s,1.59E-10,3.55E-11,3.55E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164186.184,,,s,2.85E-10,6.49E-11,6.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164254.006,,,s,1.32E-10,3.11E-11,3.11E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164316.231,,,s,2.98E-10,6.60E-11,6.60E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164376.883,,,s,1.64E-10,3.64E-11,3.64E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164456.097,,,s,1.72E-10,3.97E-11,3.97E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164518.529,,,s,1.90E-10,4.24E-11,4.24E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164578.455,,,s,2.60E-10,6.15E-11,6.15E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164622.333,,,s,2.13E-10,5.02E-11,5.02E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164679.375,,,s,2.33E-10,5.21E-11,5.21E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164733.658,,,s,1.74E-10,4.10E-11,4.10E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164799.601,,,s,2.52E-10,5.74E-11,5.74E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164860.277,,,s,1.46E-10,3.44E-11,3.44E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
164935.498,,,s,1.87E-10,4.26E-11,4.26E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
165000.062,,,s,2.21E-10,4.94E-11,4.94E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
165044.943,,,s,2.53E-10,5.77E-11,5.77E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
165102.862,,,s,1.67E-10,3.88E-11,3.88E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
165202.964,,,s,1.79E-10,2.97E-11,2.97E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168684.093,,,s,1.91E-10,4.44E-11,4.44E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168746.401,,,s,3.25E-10,7.41E-11,7.41E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168816.731,,,s,2.27E-10,5.08E-11,5.08E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168879.414,,,s,2.30E-10,5.23E-11,5.23E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168938.587,,,s,3.94E-10,8.80E-11,8.80E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
168996.004,,,s,2.29E-10,5.33E-11,5.33E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169066.21,,,s,2.68E-10,6.23E-11,6.23E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169137.12,,,s,2.01E-10,4.35E-11,4.35E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169219.407,,,s,2.57E-10,5.97E-11,5.97E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169303.878,,,s,1.76E-10,3.97E-11,3.97E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169376.115,,,s,2.72E-10,6.44E-11,6.44E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
