Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include,,,,,,,,,,,,,,
537.6503,s,9.52E-09,1.19E-09,1.19E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
539.318,s,8.02E-09,9.93E-10,9.93E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
541.4088,s,9.61E-09,1.22E-09,1.22E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
543.242,s,6.64E-09,8.61E-10,8.61E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
545.4713,s,8.43E-09,1.07E-09,1.07E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
547.1947,s,9.72E-09,1.20E-09,1.20E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
548.9769,s,9.40E-09,1.15E-09,1.15E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
550.953,s,7.56E-09,9.47E-10,9.47E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
553.096,s,8.97E-09,1.12E-09,1.12E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
554.861,s,7.99E-09,1.01E-09,1.01E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
556.919,s,8.28E-09,1.04E-09,1.04E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
558.834,s,7.99E-09,1.01E-09,1.01E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
560.738,s,7.85E-09,1.01E-09,1.01E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
562.8442,s,9.52E-09,1.19E-09,1.19E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
564.5535,s,1.04E-08,1.29E-09,1.29E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
566.675,s,7.48E-09,9.37E-10,9.37E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
568.6623,s,9.02E-09,1.12E-09,1.12E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
570.851,s,7.09E-09,9.62E-10,9.62E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
572.813,s,7.81E-09,9.78E-10,9.78E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
574.905,s,8.20E-09,1.01E-09,1.01E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
