Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
139.17,,,seconds,2.78E-09,5.05E-10,5.05E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
139.9139,,,seconds,3.11E-09,5.45E-10,5.45E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
140.7152,,,seconds,3.16E-09,5.51E-10,5.51E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
141.6618,,,seconds,2.53E-09,4.37E-10,4.37E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
142.405,,,seconds,2.75E-09,4.87E-10,4.87E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
143.368,,,seconds,2.29E-09,3.97E-10,3.97E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
144.4481,,,seconds,2.70E-09,4.54E-10,4.54E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
145.396,,,seconds,2.27E-09,3.98E-10,3.98E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
146.2876,,,seconds,3.03E-09,5.38E-10,5.38E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
147.286,,,seconds,2.01E-09,3.49E-10,3.49E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
148.285,,,seconds,3.26E-09,5.70E-10,5.70E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
149.0614,,,seconds,3.16E-09,5.46E-10,5.46E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
149.8701,,,seconds,3.02E-09,5.22E-10,5.22E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
150.689,,,seconds,2.78E-09,4.85E-10,4.85E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
151.77,,,seconds,2.03E-09,3.51E-10,3.51E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
152.809,,,seconds,2.40E-09,4.17E-10,4.17E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
153.7437,,,seconds,2.86E-09,5.02E-10,5.02E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
154.805,,,seconds,2.20E-09,3.90E-10,3.90E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
155.7701,,,seconds,2.96E-09,5.12E-10,5.12E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
156.855,,,seconds,2.05E-09,3.59E-10,3.59E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
157.917,,,seconds,2.54E-09,4.46E-10,4.46E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
159.054,,,seconds,2.27E-09,4.20E-10,4.20E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
