Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
49700.0,s,0.007208722,0.001802181,0.001802181,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
95800.0,s,0.005086154,0.001682035,0.001682035,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,slop,1.0
5.634,d,4.95,0.62,0.62,mJy,Spectral Flux,229000000000.0,,,Hz,Ka,,slop,1.0
5.634,d,4.97,0.85,0.85,mJy,Spectral Flux,290000000000.0,,,Hz,Kc,,slop,1.0
6.654,d,4.19,0.89,0.89,mJy,Spectral Flux,229000000000.0,,,Hz,Ka,,slop,1.0
7.63,d,4.16,0.66,0.66,mJy,Spectral Flux,272000000000.0,,,Hz,Kb,,slop,1.0
7.63,d,2.96,1.33,1.33,mJy,Spectral Flux,341000000000.0,,,Hz,Kd,,slop,1.0
8.577,d,3.83,0.83,0.83,mJy,Spectral Flux,229000000000.0,,,Hz,Ka,,slop,1.0
3386.421,s,8.45e-08,3.38e-09,3.38e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3417.883,s,8.35e-08,3.31e-09,3.31e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3478.072,s,8.08e-08,3.24e-09,3.24e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3511.571,s,7.81e-08,3.16e-09,3.16e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3517.36,s,7.19e-08,2.92e-09,2.92e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3523.327,s,7.65e-08,3.05e-09,3.05e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3550.954,s,8.15e-08,3.28e-09,3.28e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3561.97,s,8.11e-08,3.28e-09,3.28e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3567.577,s,7.67e-08,3.08e-09,3.08e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3591.568,s,7.28e-08,2.94e-09,2.94e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3597.374,s,7.38e-08,2.95e-09,2.95e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3603.449,s,7.35e-08,2.96e-09,2.96e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3615.08,s,7.01e-08,2.81e-09,2.81e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3656.491,s,7.22e-08,2.86e-09,2.86e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3668.122,s,7.86e-08,3.16e-09,3.16e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3679.702,s,7.57e-08,3.03e-09,3.03e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3685.743,s,7.25e-08,2.9e-09,2.9e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3697.643,s,6.89e-08,2.76e-09,2.76e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3715.716,s,6.93e-08,2.76e-09,2.76e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3741.339,s,7.25e-08,2.94e-09,2.94e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3753.853,s,6.98e-08,2.78e-09,2.78e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3765.839,s,7.9e-08,3.17e-09,3.17e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3777.787,s,7.48e-08,3e-09,3e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3790.018,s,7.33e-08,2.94e-09,2.94e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3796.286,s,6.84e-08,2.74e-09,2.74e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3841.061,s,7.22e-08,2.9e-09,2.9e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3853.346,s,6.7e-08,2.68e-09,2.68e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3865.962,s,6.93e-08,2.76e-09,2.76e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3878.74,s,6.87e-08,2.78e-09,2.78e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3911.158,s,6.7e-08,2.7e-09,2.7e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3918.004,s,6.58e-08,2.65e-09,2.65e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3931.181,s,6.45e-08,2.59e-09,2.59e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3937.826,s,6.53e-08,2.65e-09,2.65e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
